Name,ID
cholanic acids (UBERON),CHEBI:36278
cyclic tetrapyrrole (UBERON),CHEBI:36309
lepton (UBERON),CHEBI:36338
baryon (UBERON),CHEBI:36339
fermion (UBERON),CHEBI:36340
boson (UBERON),CHEBI:36341
subatomic particle (UBERON),CHEBI:36342
composite particle (UBERON),CHEBI:36343
hadron (UBERON),CHEBI:36344
nuclear particle (UBERON),CHEBI:36347
polyatomic entity (UBERON),CHEBI:36357
polyatomic ion (UBERON),CHEBI:36358
phosphorus oxoacid derivative (UBERON),CHEBI:36359
phosphorus oxoacids and derivatives (UBERON),CHEBI:36360
alkaline earth salt (UBERON),CHEBI:36364
galactosylceramide (UBERON),CHEBI:36498
carbonyl compound (UBERON),CHEBI:36586
organic oxo compound (UBERON),CHEBI:36587
corticosteroid hormone (UBERON),CHEBI:36699
phosphocholines (UBERON),CHEBI:36700
biladienes (UBERON),CHEBI:36735
farnesane (UBERON),CHEBI:36756
farnesane sesquiterpenoid (UBERON),CHEBI:36757
17-hydroxy steroid (UBERON),CHEBI:36838
11-hydroxy steroid (UBERON),CHEBI:36841
20-oxo steroid (UBERON),CHEBI:36885
18-oxo steroid (UBERON),CHEBI:36887
chalcogen hydride (UBERON),CHEBI:36902
inorganic ion (UBERON),CHEBI:36914
inorganic cation (UBERON),CHEBI:36915
cation (UBERON),CHEBI:36916
chalcocarbonic acid (UBERON),CHEBI:36961
organochalcogen compound (UBERON),CHEBI:36962
organooxygen compound (UBERON),CHEBI:36963
amino-acid anion (UBERON),CHEBI:37022
glucan (UBERON),CHEBI:37163
homopolysaccharide (UBERON),CHEBI:37164
organic hydride (UBERON),CHEBI:37175
mononuclear parent hydride (UBERON),CHEBI:37176
elemental sodium (UBERON),CHEBI:37246
elemental potassium (UBERON),CHEBI:37247
mucopolysaccharide (UBERON),CHEBI:37395
chondroitin sulfate (UBERON),CHEBI:37397
acid (UBERON),CHEBI:37527
heteroatomic molecular entity (UBERON),CHEBI:37577
carboxamide (UBERON),CHEBI:37622
glucopyranose (UBERON),CHEBI:37661
phosphoric ester (UBERON),CHEBI:37734
sulfuric acid derivative (UBERON),CHEBI:37826
carboacyl group (UBERON),CHEBI:37838
adrenergic agonist (UBERON),CHEBI:37886
adrenergic agent (UBERON),CHEBI:37962
polypyrrole (UBERON),CHEBI:38077
organonitrogen heterocyclic compound (UBERON),CHEBI:38101
cardiotonic drug (UBERON),CHEBI:38147
organic heteropolycyclic compound (UBERON),CHEBI:38166
monocyclic heteroarene (UBERON),CHEBI:38179
polycyclic heteroarene (UBERON),CHEBI:38180
cholinergic drug (UBERON),CHEBI:38323
cholinergic agonist (UBERON),CHEBI:38324
muscarinic agonist (UBERON),CHEBI:38325
simple protein (UBERON),CHEBI:38560
aminoalkylindole (UBERON),CHEBI:38631
organic sodium salt (UBERON),CHEBI:38700
carboxylic acid dianion (UBERON),CHEBI:38716
anaesthetic (UBERON),CHEBI:38867
corticotropin (UBERON),CHEBI:3892
indole alkaloid (UBERON),CHEBI:38958
apolipoprotein (UBERON),CHEBI:39015
inclusion compound (UBERON),CHEBI:39022
clathrate compound (UBERON),CHEBI:39024
calcium cation (UBERON),CHEBI:39123
calcium ion (UBERON),CHEBI:39124
Bronsted acid (UBERON),CHEBI:39141
Bronsted base (UBERON),CHEBI:39142
Lewis base (UBERON),CHEBI:39144
straight-chain saturated fatty acid (UBERON),CHEBI:39418
dihydrogenphosphate (UBERON),CHEBI:39745
cyclic ketone (UBERON),CHEBI:3992
(S)-adrenaline (UBERON),CHEBI:40751
carbonate (UBERON),CHEBI:41609
D-glucopyranose (UBERON),CHEBI:4167
D-hexose (UBERON),CHEBI:4194
formyl group (UBERON),CHEBI:42485
hydroxy group (UBERON),CHEBI:43176
hydrogenphosphate (UBERON),CHEBI:43474
hydrogensulfate (UBERON),CHEBI:45696
oxo group (UBERON),CHEBI:46629
mineral (UBERON),CHEBI:46662
carbonate salt (UBERON),CHEBI:46721
phosphate mineral (UBERON),CHEBI:46723
solvent (UBERON),CHEBI:46787
carboxy group (UBERON),CHEBI:46883
acetate ester (UBERON),CHEBI:47622
3-oxo steroid (UBERON),CHEBI:47788
cyclic polypyrrole (UBERON),CHEBI:47882
steroid acid (UBERON),CHEBI:47891
3-oxo-Delta(4) steroid (UBERON),CHEBI:47909
sulfur oxide (UBERON),CHEBI:48154
polar solvent (UBERON),CHEBI:48354
protic solvent (UBERON),CHEBI:48356
protophilic solvent (UBERON),CHEBI:48359
amphiprotic solvent (UBERON),CHEBI:48360
alpha-adrenergic drug (UBERON),CHEBI:48539
beta-adrenergic drug (UBERON),CHEBI:48540
dopaminergic agent (UBERON),CHEBI:48560
radical scavenger (UBERON),CHEBI:48578
agonist (UBERON),CHEBI:48705
antagonist (UBERON),CHEBI:48706
contraceptive drug (UBERON),CHEBI:49323
hydrogen atom (UBERON),CHEBI:49637
organic amino compound (UBERON),CHEBI:50047
sex hormone (UBERON),CHEBI:50112
androgen (UBERON),CHEBI:50113
steroid acid anion (UBERON),CHEBI:50160
provitamin (UBERON),CHEBI:50188
protective agent (UBERON),CHEBI:50267
canonical nucleotide residue (UBERON),CHEBI:50297
canonical deoxyribonucleotide residue (UBERON),CHEBI:50298
canonical ribonucleotide residue (UBERON),CHEBI:50299
onium compound (UBERON),CHEBI:50312
onium cation (UBERON),CHEBI:50313
nucleotide residue (UBERON),CHEBI:50319
nucleoside residue (UBERON),CHEBI:50320
proteinogenic amino-acid side-chain group (UBERON),CHEBI:50325
2-carboxyethyl group (UBERON),CHEBI:50329
androstanoid (UBERON),CHEBI:50402
mydriatic agent (UBERON),CHEBI:50513
vasoconstrictor agent (UBERON),CHEBI:50514
bone density conservation agent (UBERON),CHEBI:50646
reproductive control drug (UBERON),CHEBI:50689
nutraceutical (UBERON),CHEBI:50733
progestogen (UBERON),CHEBI:50745
immunomodulator (UBERON),CHEBI:50846
immunological adjuvant (UBERON),CHEBI:50847
corticosteroid (UBERON),CHEBI:50858
organic molecular entity (UBERON),CHEBI:50860
allergen (UBERON),CHEBI:50904
neurotoxin (UBERON),CHEBI:50910
non-covalently-bound molecular entity (UBERON),CHEBI:50967
primary amino compound (UBERON),CHEBI:50994
hormone agonist (UBERON),CHEBI:51060
hormone receptor modulator (UBERON),CHEBI:51061
chemical role (UBERON),CHEBI:51086
nitrogen molecular entity (UBERON),CHEBI:51143
dipolar compound (UBERON),CHEBI:51151
organodiyl group (UBERON),CHEBI:51422
